artist,gender,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,artistRole,title,medium,creditLine,year,acquisitionYear,width,height,units,thumbnailUrl,artwork_url,artist_url,medium_normalized,name_normalized
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and chalk on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,299,240,mm,http://www.tate.org.uk/art/images/work/T/T09/T09798_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09798,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,377,278,mm,http://www.tate.org.uk/art/images/work/T/T09/T09817_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09817,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and gouache on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,181,260,mm,http://www.tate.org.uk/art/images/work/T/T09/T09818_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09818,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,281,190,mm,http://www.tate.org.uk/art/images/work/T/T09/T09789_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09789,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
"Wharncliffe, Lady",Female,1776,1853,,,artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,212,180,mm,http://www.tate.org.uk/art/images/work/T/T10/T10913_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10913,http://www.tate.org.uk/art/artists/lady-wharncliffe-nee-lady-caroline-mary-elizabeth-creighton-2576,Graphite,Lady Wharncliffe
"Wharncliffe, Lady",Female,1776,1853,,,artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,209,163,mm,http://www.tate.org.uk/art/images/work/T/T10/T10914_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10914,http://www.tate.org.uk/art/artists/lady-wharncliffe-nee-lady-caroline-mary-elizabeth-creighton-2576,Graphite,Lady Wharncliffe
"Wharncliffe, Lady",Female,1776,1853,,,artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,209,161,mm,http://www.tate.org.uk/art/images/work/T/T10/T10915_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10915,http://www.tate.org.uk/art/artists/lady-wharncliffe-nee-lady-caroline-mary-elizabeth-creighton-2576,Graphite,Lady Wharncliffe
"Wharncliffe, Lady",Female,1776,1853,,,artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,216,184,mm,http://www.tate.org.uk/art/images/work/T/T10/T10916_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10916,http://www.tate.org.uk/art/artists/lady-wharncliffe-nee-lady-caroline-mary-elizabeth-creighton-2576,Graphite,Lady Wharncliffe
"Wharncliffe, Lady",Female,1776,1853,,,artist,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,209,173,mm,http://www.tate.org.uk/art/images/work/T/T10/T10917_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10917,http://www.tate.org.uk/art/artists/lady-wharncliffe-nee-lady-caroline-mary-elizabeth-creighton-2576,Graphite,Lady Wharncliffe
"Rigby, Elizabeth",Female,1809,1893,"Norwich, United Kingdom","London, United Kingdom",artist,[title not known],Graphite and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997,175,126,mm,http://www.tate.org.uk/art/images/work/T/T09/T09792_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09792,http://www.tate.org.uk/art/artists/elizabeth-rigby-lady-eastlake-2555,Graphite and Watercolor,Elizabeth Rigby
